review,service
Saya kehilangan barang saya yang kelupaan di kulkas dan saya kembali menghubungi pihak hotel ternyata tidak di respon dengan baik,0
Hotel ini terletak di daerah terpencil di jalan yang sangat sempit. Lebih baik untuk tidak membawa mobil atau menyewa mobil tanpa sopir.,0
Check innya lama banget kamar belum siap katanya padahal sudah book jauh-jauh hari kamar juga sempit banget sarapan pagi. Jam 6 lauk sudah tinggal dikit.,0
Ini kedua kalinya keluarga saya menginap di viva hotel. Namun penginapan kedua kali ini mengecewakan dikarenakan ruang kamar lebih sempit dbanding penginapan yang dulu.,1
Saya pilih kamar yang ternyata kamar mandinya umum di lantai 4. Masalahnya kamar mandinya ada 3 tetapi gayung airnya hanya ada satu sehingga sulit kalau mau BAB atau buang air kecil untuk menyiramnya. Padahal sudah dikasih tau kepada petugas resepsionis.,1
Kamar tidak kedap suarasuara dari luar sangar kedengaran jelas jadinya berisikapalagi kemarin kamar saya dekat dengan ballroom dan ada acaraberisik sekali sampai saya terganggu untuk istirahat,1
Sarapannya dimulai jam 17.11 terlalu siang untuk wilayah jakarta yang mulai aktivitas mulai pukul 15.11 dan tidak ada nasi. Secara orang indonesia.,1
Oke tapi untuk housekeepingnya tolong lebih baik lagi masa sudah di minta makeup room dari jam 8 pagi sampai malam belum di bersihin. Terus bilang kalau ada kamar prioritas kan aneh tetapi secara keseluruhan oke.,0
Makanan oke banget lengkap menunya. Hanya saja untuk handuk dan keset tidak langsung tersedia di kamar. harus minta dulu. Pintu kamar mandi juga sudah agak seret buka tutupnya.,0
Jalur masuk menuju kamar mirip labirin panjang dan sempit makan pagi tidak begitu disukai anak-anak. Parkiran kurang dan sempit.,1
Kamarnya oke sayang pas dateng belum bisa langsung masuk kamar dengan alasan blm selesai di bereskan padahal sudah jam3 siang.,0
Enak banget. Hotel terletak di pusat kota. Mau ke bioskop tinggal naik ke atas. Pokoknya sip deh menginap disini.,1
Tempatnya bagus dan Bersih untuk harga yang cukup murah tidak mengecewakan hanya saja jalan masuk ke dalam sekitar 311m membuat kurang yakin apakah jalan masuknya benar karena ketika check in malam dan gelap. Strategis dekat kemana mana AC kurang dingin.,1
Edisi menginap kali ini karena kamar tidak kedap suara sehingga kurang tenang untuk istirahat (terganggu suara-suara acara di luar hotel.,1
Resepsionis itu peduli pada saya ketika saya perlu bangun pagi untuk pergi ke Skouw (perbatasan RI-PNG). Saya juga bisa mengambil sarapan saya waktu itu. Semua layanannya bagus.,1
Sangat menyenangkan..kecuali mungkin harus lebih diperhatikan tamu yang iseng..soalnya jam 12 malam dan jam 4. 31 pagi bel kamar saya di mainin..ganggu org tidur aja..,1
